Code,Name,Geography,Mid-2024,,,,,,,,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
E11000002,Merseyside (Met County),Metropolitan County,"1,475,541",,,,,,,,"1,400,264","1,391,809","1,386,152","1,382,415","1,381,756","1,380,770"
E08000011,Knowsley,Metropolitan District,"162,565",,,,,,,,"147,928","147,300","146,562","146,370","146,227","145,903"
E08000012,Liverpool,Metropolitan District,"508,961",,,,,,,,"475,486","469,953","465,745","465,815","465,365","465,656"
E08000014,Sefton,Metropolitan District,"286,281",,,,,,,,"276,707","275,546","275,143","273,814","273,979","273,969"
E08000013,St. Helens,Metropolitan District,"188,861",,,,,,,,"179,229","178,296","177,785","176,451","176,214","175,405"
E08000015,Wirral,Metropolitan District,"328,873",,,,,,,,"320,914","320,714","320,917","319,965","319,971","319,837"
E12000003,YORKSHIRE AND THE HUMBER,Region,"5,672,962",,,,,,,,"5,408,058","5,377,362","5,356,428","5,335,092","5,313,486","5,288,212"
E06000011,East Riding of Yorkshire,Unitary Authority,"355,884",,,,,,,,"336,323","334,735","335,625","334,572","334,972","334,673"
E06000010,"Kingston upon Hull, City of",Unitary Authority,"275,401",,,,,,,,"265,338","262,711","260,896","259,094","258,085","256,123"
E06000012,North East Lincolnshire,Unitary Authority,"159,911",,,,,,,,"158,877","159,140","159,420","159,456","159,408","159,735"
E06000013,North Lincolnshire,Unitary Authority,"171,336",,,,,,,,"170,174","169,212","168,816","168,309","167,974","167,516"
E06000065,North Yorkshire,Unitary Authority,"635,270",,,,,,,,"605,770","603,711","603,672","604,151","603,963","601,206"
E06000014,York,Unitary Authority,"209,301",,,,,,,,"202,892","203,212","202,206","201,168","199,157","197,783"
E11000003,South Yorkshire (Met County),Metropolitan County,"1,430,623",,,,,,,,"1,366,070","1,359,690","1,356,290","1,352,510","1,348,437","1,343,805"
E08000016,Barnsley,Metropolitan District,"251,770",,,,,,,,"240,061","238,242","236,421","234,875","233,259","231,865"
E08000017,Doncaster,Metropolitan District,"319,765",,,,,,,,"306,137","304,311","303,673","302,991","302,626","302,468"
E08000018,Rotherham,Metropolitan District,"276,595",,,,,,,,"263,273","262,063","261,391","259,391","258,710","257,716"
E08000019,Sheffield,Metropolitan District,"582,493",,,,,,,,"556,599","555,074","554,805","555,253","553,842","551,756"
E11000006,West Yorkshire (Met County),Metropolitan County,"2,435,236",,,,,,,,"2,302,614","2,284,951","2,269,503","2,255,832","2,241,490","2,227,371"
E08000032,Bradford,Metropolitan District,"563,605",,,,,,,,"538,178","534,919","531,795","528,712","525,522","523,115"
E08000033,Calderdale,Metropolitan District,"210,929",,,,,,,,"207,744","207,027","206,614","205,854","205,116","204,170"
E08000034,Kirklees,Metropolitan District,"447,847",,,,,,,,"432,588","431,110","429,036","427,009","424,922","422,970"
E08000035,Leeds,Metropolitan District,"845,189",,,,,,,,"786,739","777,987","770,434","764,369","758,029","750,683"
E08000036,Wakefield,Metropolitan District,"367,666",,,,,,,,"337,365","333,908","331,624","329,888","327,901","326,433"
E12000004,EAST MIDLANDS,Region,"5,063,164",,,,,,,,"4,731,615","4,681,640","4,642,629","4,604,568","4,570,702","4,537,448"
E06000015,Derby,Unitary Authority,"274,149",,,,,,,,"259,883","257,406","255,320","253,812","251,804","248,943"
E06000016,Leicester,Unitary Authority,"388,348",,,,,,,,"356,789","349,853","342,917","338,852","334,099","329,627"
E06000061,North Northamptonshire,Unitary Authority,"373,871",,,,,,,,"341,647","335,250","330,649","325,788","322,316","317,959"
E06000018,Nottingham,Unitary Authority,"331,077",,,,,,,,"317,625","313,265","310,339","308,681","307,436","303,899"
E06000017,Rutland,Unitary Authority,"41,443",,,,,,,,"39,044","38,438","38,294","37,833","37,114","37,581"
E06000062,West Northamptonshire,Unitary Authority,"439,811",,,,,,,,"405,019","397,939","391,024","385,699","380,827","376,008"
E10000007,Derbyshire,County,"822,377",,,,,,,,"779,957","777,373","776,326","774,002","772,590","770,688"
E07000032,Amber Valley,Non-metropolitan District,"130,451",,,,,,,,"123,411","122,835","123,018","122,856","122,438","122,521"
E07000033,Bolsover,Non-metropolitan District,"83,773",,,,,,,,"77,870","77,625","77,074","76,811","76,505","76,029"
E07000034,Chesterfield,Non-metropolitan District,"106,045",,,,,,,,"104,347","104,415","104,285","104,102","103,835","103,788"
E07000035,Derbyshire Dales,Non-metropolitan District,"71,757",,,,,,,,"70,883","70,893","71,154","71,148","71,272","71,104"
E07000036,Erewash,Non-metropolitan District,"114,253",,,,,,,,"114,249","113,984","113,639","112,871","112,716","112,249"
E07000037,High Peak,Non-metropolitan District,"91,959",,,,,,,,"90,812","90,766","90,860","90,930","90,983","90,982"
E07000038,North East Derbyshire,Non-metropolitan District,"106,646",,,,,,,,"99,755","99,173","99,083","99,091","99,320","99,100"
E07000039,South Derbyshire,Non-metropolitan District,"117,493",,,,,,,,"98,630","97,682","97,213","96,193","95,521","94,915"
E10000018,Leicestershire,County,"745,573",,,,,,,,"678,088","671,115","665,412","658,881","655,098","651,179"
E07000129,Blaby,Non-metropolitan District,"108,165",,,,,,,,"98,014","96,604","95,964","95,045","94,656","94,132"
E07000130,Charnwood,Non-metropolitan District,"188,385",,,,,,,,"174,625","172,909","170,946","168,766","167,474","165,876"
E07000131,Harborough,Non-metropolitan District,"104,713",,,,,,,,"90,610","89,402","87,991","87,346","86,350","85,699"
E07000132,Hinckley and Bosworth,Non-metropolitan District,"116,682",,,,,,,,"109,920","108,609","107,468","106,415","105,955","105,328"
E07000133,Melton,Non-metropolitan District,"54,052",,,,,,,,"51,146","51,013","50,990","50,891","50,814","50,495"
E07000134,North West Leicestershire,Non-metropolitan District,"111,881",,,,,,,,"97,729","96,362","95,270","94,358","93,805","93,670"
E07000135,Oadby and Wigston,Non-metropolitan District,"61,695",,,,,,,,"56,044","56,216","56,783","56,060","56,044","55,979"
