Council,New_Homes_Completed_Annual,Housing_Waiting_List,Housing_Affordability_Ratio,Median_House_Price,Home_Ownership_Mortgage_Percent,Home_Ownership_Outright_Percent,Social_Rent_Percent
Waltham Forest,300,9100,16.5,525000,30.4,20.2,21.5
Havering,120,2553,12.0,435000,42.1,28.4,13.8
